index,Address,Possesion,Furnishing,Buildup_area,Carpet_area,Bathrooms,Property_age,Parking,Price,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms
6250,"Arihant housing society, Sai Nagar, Kandivali West, Mumbai",Ready to move,Semi Furnished,615.0,508.0431495,1.0,12,0,14500000,14500000.0,7.0,23580.0,2.0,2.0
6523,"5 year  tower, I C Colony, Borivali West, Mumbai",Ready to move,Semi Furnished,1200.0,724.7725583,3.0,5,1,18500000,18500000.0,13.0,15420.0,2.0,2.0
4286,"Windsor Grande Residences, Mhada Colony, Andheri West, Mumbai",Ready to move,Semi Furnished,3300.0,2300.0,5.0,6,3,125000000,1250000.0,32.0,37880.0,4.0,4.0
5038,"Maharashtra Nagar, Borivali West, Mumbai",Ready to move,Unfurnished,800.0,642.5706816,1.0,25,1,16000000,16000000.0,4.0,20000.0,2.0,2.0
8491,"Bandra West, Mumbai",Ready to move,Semi Furnished,2000.0,1602.32121,4.0,10,2,85000000,85000000.0,12.0,42500.0,3.0,3.0
9046,"Tata Shubh Griha, Maan, Boisar, Mumbai",Ready to move,Unfurnished,465.0,380.0,1.0,10,1,1250000,25000.0,5.107900016,2690.0,1.0,1.0
323,"UK Iridium, Hanuman Nagar, Kandivali East, Mumbai",Ready to move,Semi Furnished,900.0,518.0,2.0,1,1,13000000,110000.0,27.0,14440.0,2.0,2.0
7124,"Ajmera Zeon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,1192.0,994.0,2.0,1,1,30500000,290000.0,40.0,25590.0,2.0,2.0
218,"Parinee Essence, Ambedkar Nagar, Kandivali West, Mumbai",Ready to move,Unfurnished,980.0,575.0,2.0,3,1,12000000,0.0,21.0,12240.0,2.0,2.0
1934,"Shraddha Prestige, Pirojshanagar, Vikhroli East, Mumbai",Ready to move,Unfurnished,500.0,399.0,2.0,2,0,8500000,100000.0,23.0,17000.0,1.0,1.0
8660,"Excellent chs, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,1050.0,740.1822248,1.0,10,0,19500000,19500000.0,7.0,18570.0,3.0,3.0
4595,"Tilak Nagar, Chembur, Mumbai",Ready to move,Fully Furnished,600.0,600.0,2.0,12,1,15000000,150000.0,10.0,25000.0,2.0,2.0
1469,"Panchamratna Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,640.0,420.0,2.0,4,1,6900000,88999.0,12.0,10780.0,1.0,1.0
3053,"prathmesh kandivali east , Saraf Chaudhary Nagar, Kandivali East, Mumbai",Ready to move,Semi Furnished,550.0,429.9938774,1.0,20,1,10000000,10000000.0,7.0,18180.0,1.0,1.0
4106,"Shapoorji Pallonji Vicinia, Chandivali, Powai, Mumbai",Ready to move,Semi Furnished,900.0,671.0,2.0,1,1,23000000,230000.0,21.0,25550.0,2.0,2.0
5046,"Hiranandani Glen Dale, Sainath Nagar, Powai, Mumbai",Ready to move,Semi Furnished,2700.0,2030.0,2.0,15,3,95000000,950000.0,32.0,35190.0,3.0,3.0
4534,"Lodha Splendora ghodbunder road, Bhayandarpada, Thane West, Mumbai",Ready to move,Semi Furnished,890.0,670.8381922,1.0,5,1,10000000,10000000.0,28.0,11230.0,2.0,2.0
4666,"Sri Garden Avenue K, Global City, Virar West, Mumbai",Ready to move,Unfurnished,640.0,431.0,2.0,5,0,3500000,0.0,15.0,5470.0,1.0,1.0
9290,"Florence, Navagaon, Dahisar West, Mumbai",Ready to move,Unfurnished,550.0,440.0,2.0,30,0,8500000,85000.0,7.0,15450.0,1.0,1.0
5285,"Rite Skyluxe, Swastik Park, Chembur, Mumbai",Ready to move,Semi Furnished,850.0,700.0,2.0,5,2,20000000,200000.0,15.0,23530.0,2.0,2.0
